Word,BSL Rank,SFI,U,D,F
mister,1,71.51,1416.4,0.3911,148318
goods,2,66.71,468.5,0.9049,32524
equity,3,66.15,411.67,0.8449,29962
dividend,4,65.15,327.16,0.7245,26620
portfolio,5,64.97,314.17,0.704,25984
sponsorship,6,62.37,172.54,0.1475,23455
inventory,7,63.62,230.19,0.5898,21186
transaction,8,64.52,283.43,0.8335,20846
non,9,64.38,273.88,0.9751,18037
lease,10,63.06,202.09,0.6443,17927
hedge,11,62.32,170.71,0.6083,15666
distribution,12,63.3,213.91,0.8564,15423
premium,13,62.93,196.21,0.7651,15412
client,14,63.27,212.36,0.9025,14829
impact,15,63.3,213.6,0.9181,14676
authority,16,63.37,217.48,0.9609,14464
obtain,17,62.67,184.93,0.8731,13175
maturity,18,61.63,145.44,0.6909,12214
publish,19,62.63,183.07,0.97,12093
sometime,20,62.08,161.3,0.9977,10447
economist,21,61.59,144.2,0.8957,10011
media,22,61.78,150.64,0.9753,9909
marginal,23,60.97,124.98,0.7714,9622
seller,24,61.28,134.26,0.8872,9457
candidate,25,60.86,121.89,0.8122,8983
merger,26,61.37,137.16,0.9961,8894
audit,27,61.09,128.4,0.9185,8838
e-book,28,60.51,112.43,0.7873,8516
consumption,29,60.96,124.67,0.936,8448
variance,30,59.49,88.89,0.5417,8383
depreciation,31,59.88,97.18,0.6805,8094
strategic,32,60.71,117.86,0.9216,8070
anti,33,59.89,97.41,0.6651,8029
recession,34,60.73,118.2,0.9739,7787
entity,35,59.9,97.74,0.7393,7785
utility,36,60.39,109.43,0.8804,7721
productivity,37,60.63,115.54,0.9554,7715
euro,38,59.75,94.31,0.6813,7654
overhead,39,58.95,78.52,0.5158,7555
organizational,40,59.84,96.33,0.7613,7498
commodity,41,60.23,105.4,0.8803,7454
monetary,42,60.42,110.17,0.9813,7220
aggregate,43,59.8,95.61,0.8218,7092
valuation,44,59.81,95.75,0.8358,7054
fiscal,45,60.13,103,0.9642,6827
payable,46,59.29,84.9,0.7266,6807
default,47,59.8,95.61,0.8993,6662
aspect,48,59.91,97.84,0.9321,6658
calculation,49,59.62,91.62,0.8615,6580
subsidiary,50,59.87,97.02,0.955,6483
mid,51,59.86,96.85,0.9536,6472
allocation,52,59.23,83.75,0.7884,6426
rose,53,59.45,88.08,0.8447,6357
coupon,54,58.95,78.52,0.7262,6337
volatility,55,58.81,76.01,0.7026,6336
retailer,56,59.85,96.67,0.9838,6324
deviation,57,58.64,73.1,0.6447,6290
receivable,58,58.03,63.59,0.498,6280
equilibrium,59,59.13,81.8,0.7814,6264
pre,60,59.7,93.43,0.9628,6209
creditor,61,59.52,89.57,0.9078,6191
derivative,62,59.09,81.08,0.8291,5967
sub,63,58.37,68.7,0.6832,5955
incur,64,59.04,80.19,0.8237,5932
surplus,65,59.5,89.2,0.9966,5782
annuity,66,57.44,55.41,0.5113,5722
disclosure,67,58.9,77.68,0.8499,5646
regime,68,58.53,71.26,0.7167,5640
risky,70,58.86,76.89,0.8838,5401
leverage,71,58.37,68.65,0.7569,5384
website,72,57.74,59.44,0.5884,5378
broker,73,58.84,76.61,0.8936,5374
outstanding,74,58.71,74.24,0.8647,5316
internet,75,57.99,63,0.6393,5299
parliament,76,56.92,49.22,0.3893,5183
coalition,77,57.15,51.87,0.4457,5135
maximize,78,58.36,68.48,0.8091,5131
beta,79,57.72,59.21,0.6414,5120
lender,80,58.7,74.08,0.9354,5028
gross,81,58.51,70.91,0.8818,5019
liquidity,82,58.68,73.77,0.9408,4983
stockholder,83,56.64,46.17,0.4259,4915
vendor,84,58.46,70.12,0.9013,4882
fraud,85,58.67,73.59,0.9714,4854
allocate,86,58.37,68.7,0.8921,4819
regulator,87,58.01,63.3,0.7709,4808
conference,88,58.4,69.16,0.9026,4803
par,89,57.74,59.38,0.7166,4786
swap,90,58.18,65.83,0.8568,4744
bankruptcy,91,58.49,70.69,0.9517,4727
provider,92,57.76,59.7,0.7564,4712
regression,93,57.04,50.54,0.5598,4700
turnover,94,58.29,67.41,0.9038,4688
criteria,95,58.21,66.18,0.8846,4671
accountant,96,58.1,64.59,0.861,4638
constitution,97,56.67,46.43,0.4425,4615
trader,98,58.21,66.24,0.9128,4576
monopoly,99,58.34,68.23,0.9513,4566
correlation,100,57.41,55.1,0.7022,4564
stockmarket,101,56.21,41.79,0.3492,4556
ex,102,58.42,69.43,0.9919,4515
profitable,103,58.38,68.94,0.9858,4503
breach,104,58.08,64.23,0.8996,4486
subsidy,105,57.99,62.96,0.8755,4437
auditor,106,58.09,64.42,0.9194,4427
banker,107,58.15,65.3,0.9364,4412
corruption,108,56.35,43.19,0.412,4412
issuer,109,57.16,51.98,0.6959,4352
borrower,110,58.19,65.96,0.9825,4319
insurer,111,57.69,58.71,0.8501,4246
patent,112,57.95,62.33,0.9275,4236
profitability,113,57.69,58.74,0.8637,4213
debit,114,56.83,48.2,0.636,4157
duration,115,57.11,51.37,0.7474,4077
scenario,116,57.35,54.35,0.8162,4045
terrorism,117,55.68,37.01,0.3515,4013
respondent,118,57.37,54.63,0.83,4009
regulatory,119,57.8,60.28,0.9684,3989
takeover,120,57.65,58.19,0.9188,3988
coefficient,121,56.84,48.27,0.7111,3952
indicator,122,57.28,53.51,0.8337,3946
classify,123,57.34,54.17,0.8508,3909
receipt,124,57.44,55.44,0.8876,3905
optimal,125,56.92,49.25,0.7466,3895
nominal,126,57.43,55.37,0.8878,3885
infrastructure,127,57.49,56.11,0.9126,3858
disclose,128,57.56,57.02,0.9452,3839
offset,129,57.51,56.41,0.95,3784
effectiveness,130,57.2,52.49,0.8726,3739
merchandise,131,56.36,43.25,0.6394,3708
bound,132,57.54,56.82,0.9923,3694
bargain,133,57.24,53,0.908,3673
conversion,134,56.91,49.09,0.8127,3651
statistics,135,57.4,54.97,0.9679,3638
stakeholder,136,56.22,41.89,0.6383,3621
administrative,137,57.1,51.33,0.9013,3571
taxpayer,138,56.92,49.26,0.859,3559
alliance,139,56.88,48.71,0.8234,3558
minimize,140,56.93,49.37,0.8692,3523
flexibility,141,57.17,52.1,0.9494,3497
debtor,142,56.5,44.66,0.7542,3482
liable,143,56.89,48.84,0.8715,3479
authorize,144,57.1,51.32,0.9376,3476
parameter,145,56.23,41.95,0.7034,3470
integration,146,57.27,53.38,0.9934,3468
scandal,147,55.93,39.16,0.573,3467
interval,148,56.36,43.24,0.737,3439
defer,149,56.73,47.13,0.8412,3438
carrier,150,57.16,51.99,0.9698,3435
worldwide,151,57.19,52.34,0.9819,3429
payoff,152,55.72,37.36,0.5787,3417
ethical,153,55.8,38.03,0.5886,3393
click,154,55.93,39.14,0.6645,3369
publicly,155,57.08,51.05,0.9734,3363
bonus,156,57.05,50.68,0.9662,3360
governance,157,56.85,48.44,0.905,3348
contractor,158,56.88,48.79,0.9238,3346
marketer,159,55.65,36.69,0.5876,3302
benchmark,160,56.3,42.68,0.7778,3290
rebel,161,54.48,28.06,0.2844,3268
statute,162,56.14,41.09,0.731,3257
