This list contains a sample (every seventh entry) of the the top 60,000 lemmas from the 
Corpus of Contemporary American English (COCA) (http://corpus.byu.edu/coca/).
You can also donwload an Excel verion: http://www.wordfrequency.info/files/wordlist_60k.xls

Note that this is the *only* frequency list of English that is corrected for a list this large.
All other frequency lists (if they are corrected at all, to remove bad entries) only correct the top 5,000 or 10,000 words.

It is also possible to purchase lists with the 200-300 most frequent collocates for each of the 
60,000 words in the frequency list.


For more information:

http://www.wordfrequency.info: Word frequency lists
http://corpus.byu.edu/coca/: Corpus of Contemporary American English (COCA)
http://davies-linguistics.byu.edu/ : Mark Davies

-------------------------------------------------------------------

Note that there are many lower-frequency words (e.g. #35,000-40,000 and lower) that are probably really NOUN,
but which are tagged as ADJ because they have an ADJ "function" (e.g. a *weight-training* regimen, a *sibilant* consonant). 


freq = frequency in the corpus
dispersion = Juilland's <d> dispersion measure (0-1): how "evenly" the lemma is distributed across the corpus
rank = a function of score (not shown here), but which is calculated as: freq * disp
pos = part of speech (see http://ucrel.lancs.ac.uk/claws7tags.html)


rank	lemma	PoS	freq	dispersion
----	----	----	----	----

7	to	t	6332195	0.98
14	you	p	3085642	0.92
21	they	p	1865844	0.96
28	not	x	1638883	0.98
35	go	v	1151045	0.93
42	her	a	969591	0.91
49	as	i	829018	0.95
56	think	v	772787	0.91
63	take	v	670745	0.97
70	come	v	628254	0.95
77	then	r	543977	0.95
84	way	n	470401	0.98
91	more	d	420170	0.97
98	give	v	384503	0.98
105	very	r	391821	0.92
112	through	i	340921	0.98
119	may	v	324569	0.95
126	still	r	296953	0.97
133	too	r	280396	0.96
140	between	i	264158	0.94
147	family	n	243267	0.97
154	mean	v	242198	0.93
161	same	d	222836	0.98
168	talk	v	229429	0.92
175	might	v	209059	0.98
182	over	r	208260	0.95
189	company	n	203345	0.93
196	so	c	191893	0.95
203	small	j	185463	0.97
210	live	v	176144	0.98
217	next	m	176306	0.96
224	home	n	170527	0.96
231	national	j	166359	0.95
238	lot	n	169570	0.92
245	though	c	152182	0.97
252	far	r	148621	0.98
259	after	c	142289	0.98
266	important	j	144194	0.95
273	game	n	146311	0.92
280	ever	r	135774	0.96
287	law	n	133706	0.95
294	set	v	127369	0.97
301	white	j	126760	0.96
308	minute	n	126660	0.95
315	nothing	p	126848	0.94
322	back	n	125006	0.94
329	stop	v	121481	0.94
336	others	n	115771	0.97
343	door	n	124993	0.88
350	history	n	114904	0.95
357	morning	n	114002	0.92
364	guy	n	110409	0.93
371	teacher	n	116100	0.88
378	although	c	107925	0.93
385	able	j	103171	0.97
392	music	n	102657	0.95
399	human	j	101224	0.94
406	home	r	97937	0.95
413	plan	n	95824	0.96
420	experience	n	98106	0.93
427	effect	n	95216	0.92
434	care	n	88862	0.96
441	pass	v	86184	0.97
448	development	n	91995	0.90
455	up	i	85759	0.95
462	show	n	86828	0.93
469	mind	n	82808	0.96
476	report	n	83174	0.95
483	even	c	79087	0.98
490	drive	v	80476	0.96
497	receive	v	80250	0.95
504	model	n	82973	0.91
511	early	r	75605	0.98
518	wear	v	77921	0.94
525	event	n	75559	0.95
532	site	n	75932	0.94
539	table	n	75228	0.93
546	oil	n	74386	0.93
