#freq	word	小学	初中	高中	大学	大学教纲	新概念	四级	六级	考研	专四	专八	BEC	CATTI	IELTS	TOEFL	SAT	GRE	GMAT	MBA	TOEIC
1	the	1	1	1		1		1	1	1										1	
2	to	1	1	1		1		1	1				1							1	
3	a	1	1	1		1		1	1					1						1	
4	you	1	1	1		1		1	1	1										1	
5	and	1	1	1		1		1	1	1				1						1	
6	it	1	1	1	1	1		1	1	1				1						1	
8	of	1		1		1		1	1	1				1						1	
9	for	1	1	1		1		1	1	1				1						1	
10	I	1	1	1		1		1	1	1										1	
11	in	1	1	1		1		1	1	1				1						1	
12	on	1	1	1		1		1	1	1				1						1	
13	is	1	1																		
14	that	1	1	1		1	1	1	1	1										1	
16	be	1	1	1		1		1	1	1				1						1	
17	have	1	1	1		1	1	1	1	1				1						1	
18	are	1	1	1																	
19	this	1	1	1		1	1	1	1	1										1	
21	we	1	1	1		1		1	1	1				1						1	
22	me	1	1	1		1		1	1					1						1	
24	there	1	1	1		1		1	1	1										1	
25	can	1	1	1		1	1	1	1	1	1									1	
26	here	1	1	1		1	1	1	1	1				1						1	
27	with	1	1	1		1	1	1	1	1				1						1	
28	but	1	1	1		1		1	1	1										1	
29	he	1	1	1		1		1	1	1				1						1	
30	now	1	1	1		1	1	1	1	1				1						1	
31	so	1	1	1		1	1	1	1	1										1	
32	my	1	1	1		1		1	1					1						1	
33	not	1	1	1		1		1	1	1				1						1	
34	do	1	1	1		1	1	1	1	1										1	
35	your	1	1	1		1		1	1	1										1	
36	at	1	1	1		1		1	1	1										1	
37	one	1	1	1		1		1	1	1				1						1	
38	up	1	1	1		1		1	1	1				1	1					1	
39	was		1																		
40	go	1	1	1		1	1	1	1	1				1	1		1			1	
41	out	1	1	1		1		1	1	1										1	
43	like	1	1	1		1	1	1	1	1				1						1	
44	if	1	1	1		1		1	1	1				1						1	
45	know	1	1			1	1	1	1	1				1				1		1	
46	just	1	1	1		1	1	1	1	1	1			1						1	
47	get	1	1	1		1		1	1	1				1	1					1	
49	they	1	1	1		1		1	1	1										1	
50	don						1														
51	see	1	1	1		1	1	1	1	1										1	
52	about	1	1	1		1	1	1	1	1				1						1	
53	right	1	1	1		1	1	1	1	1										1	
54	who	1	1	1		1		1	1	1				1						1	
55	good	1	1	1		1	1	1	1	1				1	1					1	
56	when	1	1	1		1	1	1	1	1										1	
57	time	1	1	1		1	1	1	1	1					1					1	
59	did		1																		
60	from	1	1	1		1	1	1	1	1				1						1	
61	want	1	1	1		1	1	1	1	1				1				1		1	
62	think	1	1	1		1	1	1	1	1										1	
63	take	1	1	1		1	1	1	1	1					1					1	
66	look	1	1	1		1	1	1	1	1				1						1	
67	an	1	1											1							
68	all	1	1	1		1	1	1	1	1				1	1					1	
69	back	1	1	1		1	1	1	1	1				1	1					1	
70	some	1	1	1		1	1	1	1	1										1	
72	would	1	1	1		1	1	1	1	1										1	
73	been		1																		
75	then	1	1	1		1	1	1	1	1										1	
76	him	1	1	1		1		1	1	1				1						1	
77	got		1																		
78	as	1	1	1		1	1	1	1	1					1					1	
79	or	1	1	1		1		1	1	1										1	
80	going												1								
81	were	1	1																		
82	could		1			1		1	1	1										1	
83	say	1	1	1		1	1	1	1	1					1					1	
84	something	1	1	1		1		1	1	1										1	
86	way	1	1	1	1	1	1	1	1	1				1						1	
87	make	1	1	1		1	1	1	1	1			1		1					1	
88	by	1	1	1		1		1	1	1										1	
89	too	1	1	1		1	1	1	1	1										1	
90	us		1			1		1	1											1	
91	his	1	1	1		1		1	1	1										1	
93	more	1	1	1		1		1	1	1				1						1	
94	over	1	1	1		1	1	1	1	1										1	
96	them	1	1	1		1		1	1	1										1	
97	down	1	1	1		1	1	1	1	1								1		1	
98	never	1	1	1		1	1	1	1	1				1						1	
102	should	1	1	1		1		1	1	1										1	
103	will	1	1	1	1	1		1	1	1				1						1	
104	she	1	1	1		1		1	1	1										1	
105	tell	1	1			1	1	1	1	1										1	
106	only	1	1	1		1		1	1	1				1						1	
107	our	1	1	1		1		1	1	1										1	
108	give	1	1	1	1	1	1	1	1	1				1	1					1	
109	her	1	1	1		1		1	1	1				1						1	
110	need	1	1	1		1	1	1	1	1				1						1	
111	has	1	1																		
112	little	1	1	1		1	1	1	1	1				1						1	
113	off		1	1		1	1	1	1	1				1	1			1		1	
114	thing		1	1		1		1	1	1										1	
115	man	1	1	1		1	1	1	1	1										1	
116	any	1	1	1		1	1	1	1	1				1						1	
117	mean	1	1	1	1	1	1	1	1	1	1			1	1			1		1	
118	much	1	1	1		1	1	1	1	1				1						1	
119	said		1																		
121	sure	1	1	1		1	1	1	1	1	1									1	
122	am	1	1	1																	
123	two	1	1	1		1		1	1	1				1						1	
124	really		1			1	1	1	1	1											
126	even	1	1	1	1	1		1	1	1	1				1			1		1	
127	anything	1	1	1		1	1	1	1	1				1						1	
128	sorry		1	1		1	1	1	1	1										1	
129	before	1	1	1		1		1	1	1										1	
130	because	1	1	1		1	1	1	1	1				1						1	
131	people		1	1		1		1	1	1				1						1	
132	into		1	1		1	1	1	1	1				1						1	
133	very	1	1	1		1	1	1	1	1				1						1	
134	first	1	1	1		1		1	1	1				1						1	
135	again		1	1		1	1	1	1	1				1						1	
136	nothing	1	1	1		1	1	1	1	1				1	1					1	
137	these	1	1	1		1		1	1	1										1	
138	put	1	1	1		1	1	1	1	1				1	1					1	
139	please	1	1	1		1	1	1	1	1				1							
140	thought	1	1	1		1		1	1	1										1	
141	better	1	1	1	1	1	1	1	1	1					1					1	
142	still	1	1	1		1	1	1	1	1	1									1	
145	than	1	1	1		1	1	1	1	1										1	
146	help	1	1	1		1		1	1	1				1						1	
147	other	1	1	1		1	1	1	1	1								1		1	
149	last	1	1	1	1	1	1	1	1	1				1						1	
150	day	1	1	1		1		1	1	1					1					1	
151	those	1	1	1		1	1	1	1	1										1	
152	wait	1	1	1		1	1	1	1	1				1						1	
153	find	1	1	1		1	1	1	1	1				1						1	
154	work	1	1	1		1	1	1	1	1				1						1	
155	does		1	1																	
156	after		1	1	1	1		1	1	1										1	
157	talk	1	1	1		1		1	1	1										1	
158	life	1	1	1		1		1	1	1				1							
159	long	1	1	1	1	1	1	1	1	1				1				1		1	
160	away	1	1	1		1	1	1	1	1										1	
161	keep	1	1	1		1	1	1	1	1				1	1					1	
162	around	1	1	1		1		1	1	1	1									1	
163	call	1	1	1		1	1	1	1	1			1		1					1	1
167	told		1																		
168	ever	1	1	1		1	1	1	1	1										1	
169	always	1	1	1		1	1	1	1	1										1	
171	great		1	1		1	1	1	1	1	1			1						1	
172	home	1	1	1		1		1	1	1				1						1	
173	made		1																		
174	stop	1	1	1		1	1	1	1	1										1	
175	believe		1	1		1	1	1	1	1				1						1	
176	night	1	1	1		1	1	1	1	1				1						1	
177	love	1	1	1		1		1	1	1				1						1	
178	everything	1	1	1		1	1	1	1	1										1	
179	another		1	1		1	1	1	1	1										1	
180	kind	1	1	1		1		1	1	1				1						1	
182	place	1	1	1		1	1	1	1	1				1						1	
183	feel	1	1	1		1	1	1	1	1					1					1	
184	hear	1	1	1		1	1	1	1	1				1						1	
185	wrong	1	1	1	1	1	1	1	1	1										1	
186	new	1	1	1		1	1	1	1	1				1						1	
187	big	1	1	1		1	1	1	1	1										1	
188	bad	1	1	1		1	1	1	1	1				1						1	
189	every	1	1	1		1		1	1	1										1	
190	through	1	1	1		1	1	1	1	1										1	
191	their	1	1	1		1		1	1	1										1	
192	leave	1	1	1		1	1	1	1	1				1	1					1	
193	lot	1	1	1		1		1	1	1			1	1				1	1	1	
194	coming		1																		
195	enough	1	1	1		1	1	1	1	1										1	
196	must		1			1	1	1	1	1				1						1	
198	fine	1	1	1		1	1	1	1	1				1			1			1	
199	might	1	1	1	1	1	1	1	1	1	1			1	1					1	
201	remember	1	1	1		1	1	1	1	1										1	
202	nice	1	1	1		1	1	1	1	1				1				1		1	
203	being			1	1	1	1	1	1	1										1	
204	try	1	1	1		1	1	1	1	1										1	
205	wanted		1																		
206	name	1	1	1		1	1	1	1	1				1						1	
208	else	1	1	1		1		1	1	1										1	
210	ask	1	1	1		1	1	1	1	1				1						1	
211	left	1	1	1		1	1	1	1	1										1	
212	next	1	1	1		1	1	1	1	1				1						1	
218	care		1	1		1	1	1	1	1										1	
219	God							1	1												
220	own		1	1		1	1	1	1	1										1	
221	three	1	1	1		1		1	1	1										1	
222	old	1	1	1		1	1	1	1	1				1						1	
223	came		1																		
224	mind		1	1		1	1	1	1	1				1	1					1	
226	trying				1																
227	stay	1	1	1		1	1	1	1	1										1	
228	understand		1	1		1	1	1	1	1				1							
229	yourself		1	1		1		1	1	1										1	
230	someone	1	1	1		1	1	1	1	1										1	
232	same	1	1	1		1	1	1	1	1										1	
233	guess		1	1		1	1	1	1	1				1						1	
235	best	1	1	1		1	1	1	1	1					1					1	
236	may	1	1	1		1		1	1	1				1						1	
237	course		1	1		1	1	1	1	1										1	
238	which	1	1	1		1	1	1	1	1										1	
239	show	1	1	1		1	1	1	1	1										1	
240	guy		1		1	1				1				1	1			1			
241	today	1	1	1		1	1	1	1	1										1	
242	while		1	1		1	1	1	1	1										1	
243	seen		1																		
244	heard		1																		
245	without	1	1	1		1		1	1	1				1					1	1	
246	hold		1	1		1	1	1	1	1				1	1			1		1	
247	real		1	1		1	1	1	1	1										1	
248	use		1	1		1		1	1	1				1						1	
249	together	1	1	1		1	1	1	1	1										1	
250	whole	1	1	1		1	1	1	1	1				1						1	
251	haven					3								1	1	1		1	1		
252	saw					1		1	1	1										1	
254	once		1	1		1	1	1	1	1				1	1					1	
255	took		1																		
