The list below shows every twentieth entry from the 100,000 word list (http://www.wordfrequency.info/100k.asp) that is
based on the 450 million word Corpus of Contemporary American English (COCA; http://corpus.byu.edu/coca).

These words are taken completely at random -- every twentieth word. No attempt has been made to "clean up" this particular list, 
beyond our regular correction efforts for all 100,000 words. While the list is not perfect, we would argue that it is much more 
accurate than any other 100,000 word list (see #4 at http://www.wordfrequency.info/100k_compare.asp).


This sample list shows just six pieces of information for each word (including the raw frequency in COCA* and the number of
texts in COCA that have the word#). The full list, on the other hand, includes more than 50 pieces of data, 
including the frequency  in other BYU corpora (http://corpus.byu.edu), such as BYU-BNC, COHA, and SOAP, as well as 
specific genres within these corpora, such as spoken, fiction, magazines, newspapers, and academic.



rank	freq*	texts#	word	lemma	PoS (part of speech; see http://ucrel.lancs.ac.uk/claws7tags.html)
-----	-----	-----	-----	-----	-----

20	2095853	178290	have	have	vh0
40	1057682	148994	would	would	vm
60	769838	107674	your	your	appge
80	530956	140946	first	first	md
100	415055	126347	even	even	rr
120	327849	115203	in	in	rr
140	269151	106081	while	while	cs
160	226115	83873	each	each	dd
180	199507	92450	before	before	ii
200	177630	51374	men	man	nn2
220	165431	75812	around	around	ii
240	157480	71742	point	point	nn1
260	145415	72889	almost	almost	rr
280	140818	45743	program	program	nn1
300	132652	71346	least	least	rr
320	125207	53910	wanted	want	vvd
340	120337	59495	everything	everything	pn
360	114168	51904	used	use	vvn
380	106086	32416	looked	look	vvd
400	99926	26397	police	police	nn2
420	95253	55975	comes	come	vvz
440	91819	29313	policy	policy	nn1
460	87347	48189	everyone	everyone	pn
480	83736	30986	show	show	nn1
500	79205	44851	quite	quite	rr
520	76841	44563	third	third	md
540	74105	30464	officials	official	nn2
560	71678	25245	rights	right	nn2
580	68304	24620	science	science	nn1
600	65764	38498	include	include	vv0
620	64033	33720	happened	happen	vvd
640	62403	23506	culture	culture	nn1
660	60762	39482	longer	long	rrr
680	59376	28269	miles	mile	nn2
700	57974	23074	knowledge	knowledge	nn1
720	56848	27916	staff	staff	nn1
740	54370	30335	thanks	thanks	nn2
760	53002	20888	forces	force	nn2
780	52115	25942	green	green	jj
800	50862	34851	set	set	vv0
820	49585	28208	deal	deal	nn1
840	48678	25357	cold	cold	jj
860	47997	26730	lower	low	jjr
880	46613	30346	amount	amount	nn1
900	46091	16835	doctor	doctor	nn1
920	45254	26493	down	down	ii
940	43961	24508	loss	loss	nn1
960	43153	9497	participants	participant	nn2
980	42511	27312	parts	part	nn2
1000	41890	27241	build	build	vv0
1020	41230	26317	answer	answer	nn1
1040	40627	19545	capital	capital	nn1
1060	40006	25171	heavy	heavy	jj
1080	39516	14294	camera	camera	nn1
1100	38928	18219	surface	surface	nn1
1120	37945	16200	stars	star	nn2
1140	37504	26010	expected	expect	vvn
1160	36938	27459	once	once	cs
1180	36478	24505	explain	explain	vv0
1200	36016	26993	less	less	rrr
1220	35513	20683	terms	terms	ii
1240	35121	24551	needed	need	vvn
1260	34532	17620	structure	structure	nn1
1280	34070	21898	talk	talk	nn1
1300	33270	12248	soldiers	soldier	nn2
1320	32805	20370	means	means	nn2
1340	32324	22860	turn	turn	nn1
1360	31783	19861	experts	expert	nn2
