1. the
2. be
3. and
4. of
5. a
6./128.	in
7./9.	to
8. have
10. it
11. i
12./27./901.	that
13. for
14. you
15. he
16. with
17./155.	on
18. do
19. say
20. this
21. they
22. at
23./1711.	but
24. we
25./1883.	his
26. from
28. not
29. n't
30./1187.	by
31. she
32. or
33./49./129.	as
34. what
35. go
36. their
37. can
38. who
39. get
40. if
41. would
42./106.	her
43./221.	all
44. my
45. make
46./179.	about
47. know
48./1503.	will
50./455.	up
51./104./837.	one
52. time
53./116.	there
54. year
55./196.	so
56. think
57./136.	when
58. which
59. them
60. some
61. me
62. people
63. take
64./149.	out
65. into
66./1819.	just
67. see
68. him
69. your
70. come
71. could
72./1901.	now
73./712.	than
74./208./1120./1680.	like
75./714.	other
76. how
77. then
78. its
79. our
80. two
81./91.	more
82. these
83. want
84. way
85./603.	look
86. first
87. also
88. new
89./508.	because
90. day
92./428.	use
93./698./914./1105.	no
94. man
95. find
96. here
97. thing
98. give
99. many
100./643.	well
101./328.	only
102. those
103. tell
105./1206.	very
107./483.	even
108./322./1873.	back
109. any
110. good
111. woman
112./1214.	through
113. us
114. life
115. child
117./199.	work
118./1025.	down
119. may
120./259.	after
121. should
122./644.	call
123. world
124./182.	over
125. school
126. still
127. try
130./1683.	last
131. ask
132./540.	need
133. too
134. feel
135. three
137./844.	state
138. never
139. become
140. between
141. high
142. something
143. really
144./187.	most
145. another
146./297.	much
147. family
148./1122.	own
150. leave
151. put
152. old
153./1325.	while
154./1371./1906.	mean
156. keep
157. student
158. why
159. let
160. great
161. same
162. big
163. group
164. begin
165. seem
166. country
167./879.	help
168./918.	talk
169./190.	where
170./1174.	turn
171. problem
172. every
173./1536.	start
174. hand
175. might
176./544.	american
177./462.	show
178./1826.	part
180. against
181./631.	place
183./348.	such
184. again
185. few
186. case
188. week
189. company
191. system
192./723.	each
193./239./317.	right
194. program
195. hear
197./1960.	question
198. during
200./940.	play
201. government
202./1255.	run
203. small
204. number
205./387.	off
206. always
207./1403.	move
209. night
210. live
211./604.	point
212. believe
213. hold
214. today
215. bring
216. happen
217./1514.	next
218. without
219./368./705.	before
220. large
222. million
223. must
224./406.	home
225./1669.	under
226. water
227. room
228. write
229. mother
230. area
231. national
232. money
233. story
234. young
235. fact
236. month
237. different
238. lot
240./866.	study
241. book
242. eye
243. job
244. word
245. though
246. business
247. four
248./1871.	issue
249. side
250./1420.	kind
251./935.	head
252./975.	far
253./1989.	black
254./261./1841.	long
255./375.	both
256./436./846.	little
257. house
258. yes
260./874.	since
262. provide
263. service
264./326.	around
265. friend
266. important
267. father
268. sit
269./737.	away
270./1372.	until
271. power
272. hour
273. game
274. often
275. yet
276. line
277. political
278./533.	end
279. among
280. ever
281./1896.	stand
282. bad
283. lose
284. however
285. member
286. pay
287. law
288. meet
289. car
290. city
291. almost
292. include
293. continue
294./865.	set
295. later
296. community
298./814.	name
299. five
300./1189.	once
301. white
302. least
303. president
304. learn
305. real
306./356.	change
307. team
308. minute
309./968.	best
310. several
311. idea
312. kid
313. body
314. information
315. nothing
316. ago
318./1573.	lead
319. social
320. understand
321. whether
323. watch
324. together
325. follow
327. parent
329. stop
330./553.	face
331. anything
332. create
333./859.	public
334. already
335. speak
336. others
337. read
338. level
339. allow
340. add
341. office
342. spend
343. door
344. health
345. person
346. art
347. sure
349. war
350. history
351. party
352. within
353. grow
354./1362.	result
355./581.	open
357. morning
358. walk
359. reason
360. low
361. win
362. research
363. girl
364. guy
365./511.	early
366. food
367. himself
369. moment
370. air
371. teacher
372./850.	force
373. offer
374./872.	enough
376. education
377. across
378. although
379. remember
380. foot
381./682.	second
382. boy
383. maybe
384. toward
385. able
386. age
388. policy
389. everything
390./579.	love
391. process
392. music
393. including
394. consider
395. appear
396. actually
397. buy
398. probably
399./1659.	human
400. wait
401. serve
402. market
403. die
404. send
405. expect
407. sense
408. build
409. stay
410./1011.	fall
411. oh
412. nation
413./691.	plan
414./1501.	cut
415. college
416. interest
417. death
418./618.	course
419. someone
420./1182.	experience
421. behind
422. reach
423. local
424. six
425. kill
426. remain
427. effect
429. yeah
430. suggest
431. class
432./936.	control
433. raise
434./908.	care
435. perhaps
437./1810.	late
438./768.	hard
439. field
440. else
441. pass
442. former
443. sell
444. major
445. sometimes
446. require
447./1198.	along
448. development
449. themselves
450./476.	report
451. role
452./495.	better
453. economic
454. effort
456. decide
457. rate
458. strong
459. possible
460. heart
461. drug
463. leader
464./1306.	light
465. voice
466. wife
467. whole
468. police
469. mind
470. finally
471. pull
472./1243.	return
473. free
474. military
475. price
477./620.	less
478. according
479. decision
480. explain
481. son
482./1147.	hope
484. develop
485./1429.	view
486. relationship
487. carry
488. town
489. road
490./1445.	drive
491. arm
492. TRUE
493. federal
494./1074.	break
496. difference
497. receive
498. thank
499. value
500. international
501. building
502. action
503. full
504. model
