四六级,主词,衍生词,COCA衍生词
四,a/an,an,
四,abandon,,abandoned
六,abbreviation,,
六,abide,,
四,able,ability,unable(高考);inability
四,aboard,,
四,abolish,abolition,
六,abort,abortion,
四,about,,
四,above,,
六,abreast,,
四,abroad,,
六,abrupt,,abruptly
四,absent,absence,
四,absolute,,absolutely(COCA/高中)
四,absorb,absorption,
四,abstract,,
六,absurd,absurdity,
四,abundant,abundance,
四,abuse,abusive,
四,academy,academic;academician,
四,accelerate,acceleration,
四,accent,,
四,accept,acceptance;acceptable,unacceptable;accepted
四,access,accessible,
六,accessory,,
四,accident,accidental,
六,acclaim,,
四,accommodate,accommodation,
四,accompany,,
四,accomplish,accomplishment,
四,accord,,
四,accordance,,
四,according(-to),,
四,accordingly,,
四,account,accounting;accountant;accountancy,
四,accountable,accountability,
四,accumulate,accumulation;accumulative,
四,accurate,accuracy,accurately
四,accuse,accusation,
四,accustom,accustomed,
四,ace,,
四,ache,,
四,achieve,achievement,
四,acid,acidity,
四,acknowledge,acknowledg(e)ment,
四,acquaint,acquaintance,
四,acquire,acquisition,
四,acre,,
四,across,,
四,act,action;acting,
六,activate,,
四,active,activity;activist,actively
四,actor,actress,
四,actual,actually,
六,acupuncture,,
四,acute,,
四,adapt,adaptation;adaptive,
四,add,addition;additional,added;additionally
四,addict,addiction;addictive,addicted(高考)
四,address,,
四,adequate,adequacy;adequately,inadequate
六,adhere,adherence,
六,adjacent,,
四,adjective,,
四,adjust,adjustment,
四,administer/administrate,administration;administrative,administrator
四,admire,admiration;admirable,
四,admit,admission;admittance;admittedly,
六,adolescent,adolescence,
四,adopt,adoption,
六,adore,adorable,
四,adult,adulthood,
四,advance,advancement;advanced,
四,advantage,advantageous,disadvantage(高考)
六,advent,,
四,adventure,adventurer;adventurous,
四,adverb,,
六,adversary,,
六,adverse,adversity,
四,advertise,advertisement/ad;advertising,ad
四,advice,,
四,advise,advisor/-er;advisory;advisable,adviser
四,advocate,advocacy,
四,aerial,,
六,aesthetic/esthetic,aesthetics/esthetics,
四,affair,,
四,affect,,
四,affection,affectionate,
六,affiliate,affiliation,
六,affirm,affirmation;affirmative,
六,affix,affixation,
四,affluent,affluence,
四,afford,affordable;affordability,
六,afloat,,
四,afraid,,
四,after,,
六,aftermath,,
四,afternoon,,
四,afterward(s),,
四,again,,
四,against,,
四,age,aged;ag(e)ing,
四,agenda,,
四,agent,agency,
六,aggravate,aggravation,
六,aggregate,,
四,aggressive,aggression,aggressively
六,agitate,agitation,
四,ago,,
六,agony,,
四,agree,agreement;agreeable,
四,agriculture,agricultural,
四,ahead,,
四,aid,,
六,aide,,
四,AIDS,,
六,ail,ailment,
四,aim,,
四,air,,
六,airborne,,
四,air-conditioning,air-conditioner,
四,aircraft,,
四,airline,,
四,airplane/aeroplane,,
四,airport,,
四,aisle,,
六,akin,,
四,alarm,,
四,album,,
四,alcohol,alcoholic,
六,ale,,
四,alert,,
四,algebra,,
六,alien,alienate;alienation,
六,align,alignment,
四,alike,,
四,alive,,
四,all,,
四,allege,allegation;alleged;allegedly,
六,allergic,allergy,
六,alleviate,alleviation,
四,alley,,
六,allocate,allocation,
六,allot,allotment,
四,allow,,
四,allowance,,
六,alloy,,
六,allude,allusion,
六,allure,allurement,
四,ally,alliance,allied
六,almighty,,
四,almost,,
六,aloft,,
四,alone,,
四,along,,
四,alongside,,
四,aloud,,
四,alphabet,alphabetic(al),
四,already,,
四,also,,
四,alter,alteration,
六,alternate,alternation;alternately,
四,alternative,,
四,although,,
四,altitude,,
四,altogether,,
四,alumin(i)um,,
四,always,,
六,amass,,
四,amateur,,
四,amaze,amazing;amazement,amazed
四,ambassador,,ambassadress(高考)
六,ambiguous,ambiguity,
四,ambition,ambitious,
四,ambulance,,
六,amend,amendment,
六,amiable,,
四,amid(st),,
六,ammunition,,
四,among(st),,
四,amount,,
四,ample,,
六,amplify,amplification,amplifier(研)
四,amuse,amusing;amusement,
六,analog(ue),analogous,
六,analogy,,
四,analyze/-yse,analysis;analytic(al);analyst,
四,ancestor,ancestry,
四,anchor,anchorage,
四,ancient,,
四,and,,
六,anecdote,anecdotal,
四,anew,,
四,angel,,
四,angle,,angler
四,angry,anger,
六,anguish,,
四,animal,,
六,animate,animated;animation,
四,ankle,,
六,annex,annexation,
四,anniversary,,
四,announce,announcement,
四,annoy,annoyance,
四,annual,,annually
六,anonymous,anonymity,
四,another,,
四,answer,,answering
四,ant,,
六,antagonism,antagonist;antagonistic;antagonistically,
六,antenna,,
六,antibiotic,,
四,anticipate,anticipation,
四,antique,,
六,antonym,,
四,anxious,anxiety,
四,any,,
四,anybody/anyone,,anyone
四,anything,,
四,anyway/anyhow,,
四,anywhere,,
四,apart,,
四,apartment/apt.,,
六,ape,,
四,apology,apologize/-ise;apologetic,
四,app,,
六,appal(l),appalling,
四,apparatus,,
四,apparent,apparently,
四,appeal,appealing,
四,appear,appearance,
六,appease,appeasement,
六,appendix,,
四,appetite,,
四,applaud,applause,
四,apple,,
四,appliance,,
四,apply,application;applicant;applicable,applied
四,appoint,appointment,
六,appraise,appraisal,
四,appreciate,appreciation;appreciative,
六,apprentice,,
四,approach,,
六,appropriate,appropriation,inappropriate;appropriately
四,approve,approval,
四,approximate,approximately;approximation,
四,April,,
六,apron,,
六,apt,aptly,
四,aptitude,,
四,arbitrary,arbitrarily,
六,arbitrate,arbitration,
六,arc,,
六,arch,,
四,architect,,
四,architecture,,architectural
六,archive,,
六,ardent,,
四,area,,
六,arena,,
四,argue,argument;argumentation;argumentative;arguable,arguably
四,arise,,
六,aristocrat,aristocratic;aristocracy,
四,arithmetic,,
四,arm,armament,armed
六,armo(u)r,,
四,army,,
四,around,,
四,arouse,arousal,
四,arrange,arrangement,
六,array,,
四,arrest,,
四,arrive,arrival,
六,arrogant,arrogance,
四,arrow,,
四,art,artist;artistic;artistically,artwork
六,artery,,
四,article,,
六,articulate,articulation,
六,artifact,,
四,artificial,,
六,artillery,,
四,as,,
六,ascend,ascendance,
六,ascertain,,
六,ascribe,,
四,ash,,
四,ashamed,,
四,ashore,,
四,aside,,
四,ask,,
四,asleep,,
四,aspect,,
六,aspire,aspiration,
四,ass,,
六,assassinate,assassination;assassin,
六,assault,,
四,assemble,assembly,
六,assert,assertion;assertive,
四,assess,assessment,
四,asset,,
四,assign,assignment,
六,assimilate,assimilation,
四,assist,assistance;assistant,
四,associate,association,associated
六,assorted,,
六,assortment,,
四,assume,assumption,
四,assure,assurance,
四,astonish,astonishment,astonishing
六,astray,,
四,astronaut,,
四,astronomy,astronomer;astronomical,
六,asylum,,
四,at,,
四,athlete,athletic,
六,atlas,,
四,atmosphere,atmospheric,
四,atom,atomic,
四,atop,,
六,atrocity,atrocious,
四,attach,attachment,
四,attack,,
四,attain,attainment,
四,attempt,,
四,attend,attendance;attendant,
四,attention,attentive,
四,attic,,
四,attitude,,
四,attorney,,
四,attract,attraction;attractive,
四,attribute,attributable;attributive,
六,auction,auctioneer,
四,audience,,inaudible
四,audio,,
六,audit,auditing;auditor,
四,auditorium,,
六,augment,augmentation,
四,August,,
四,aunt,auntie,
四,authentic,authenticity,
四,author,,
四,authority,authoritative,
四,authorize/-ise,authorization/-sation,
六,autobiography,autobiographic(al),
四,automate,automation;automatic;automatically,
四,auto(mobile),,
六,autonomous,autonomy,
四,autumn,,
六,auxiliary,,
六,avail,,
四,available,availability,
六,avenge,,
四,avenue,,
四,average,,
六,avert,aversion,
四,aviation,,
四,avoid,avoidance,
四,await,,
四,awake,,awaken
四,award,,
四,aware,awareness;unaware,
四,away,,
四,awe,,
四,awesome,,
四,awful,,
四,awkward,,
四,ax(e),,
四,axis,,
四,baby,,
四,baby-boom,baby-boomer,
四,bachelor,,
四,back,,
四,background,,
四,backup,,
四,backward,backwards,
四,backyard,,
四,bacon,,
四,bacteria,bacterium,
四,bad,badly(四);worse(四);worst(四),
四,badge,,
四,badminton,,
六,baffle,,
四,bag,,
四,baggage,,
四,bail,,
四,bait,,
四,bake,bakery,baking
四,balance,,balanced
四,balcony,,
六,bald,,
四,ball,,
四,ballet,,
四,balloon,,
四,ballot,,
四,bamboo,,
四,ban,,
四,banana,,
四,band,,
四,bandage,,
四,bang,,
四,bank,banking;banker,
四,banknote,,
四,bankrupt,bankruptcy,
四,banner,,
四,banquet,,
四,bar,,
四,barbecue/BBQ,,
四,barber,,barbershop
四,bare,barely,
四,bargain,,
六,barge,,
四,bark,,
六,barn,,
六,barometer,,
六,barracks,,
四,barrel,,
六,barren,,
四,barrier,,
四,base,,
四,baseball,,
四,basement,,
四,basic,basically,basics
四,basin,,
四,basis,,
四,basket,,
四,basketball,,
六,bass,,
四,bat,,
四,batch,,
四,bath,,
四,bathe,,
四,bathroom,,
四,battalion,,
六,batter,,battered
四,battery,,
四,battle,,
四,bay,,
四,be,am;is;are;was;were;being;been,isn't;wasn't;you're;it's
四,beach,,
六,bead,,
六,beak,,
四,beam,,
四,bean,,
四,bear,,bearing(四);unbearable(高考)
四,beard,,
四,beast,,
四,beat,,beating
四,beauty,beautiful;beautify,beautifully
四,because,,
六,beckon,,
四,become,,became
四,bed,bedding;beddings,
四,bee,,
四,beef,,
四,beer,,
六,beetle,,
四,before,,
四,beforehand,,
四,beg,beggar,
四,begin,beginning,began
四,behalf,,
四,behave,behavio(u)r;behavio(u)ral,
四,behind,,
四,being,,
四,belief,,
四,believe,,unbelievable(高考);believer
四,bell,,
四,belly,,
四,belong,belongings,
四,beloved,,
四,below,,
四,belt,,
四,bench,,
四,bend,,bent(高考)
四,beneath,,
四,benefit,beneficial;beneficiary,
六,benevolent,benevolence,
六,benign,,
四,berry,,
六,beset,,
四,beside,,
四,besides,,
六,besiege,,
四,best,,
四,best-seller,best-selling,
四,bet,,
四,betray,betrayal,
四,better,,
四,between,,
四,beverage,,
六,beware,,
六,bewilder,bewilderment,
四,beyond,,
四,bias,,
四,Bible,Biblical/biblical,
六,bibliography,,
四,bicycle/bike,,bike
四,bid,,
四,big,,
六,bilateral,,
四,bill,,
四,billion,billionaire,billionth(高考)
四,bin,,
四,bind,,
六,binoculars,,
四,biochemistry,biochemical;biochemist,
四,biography,biographical;biographer,
四,biology,biological;biologist,
四,biotechnology,,
四,bird,,
四,birth,,birthplace(高考)
四,birthday,,
四,biscuit,,
六,bishop,,
四,bit,,
四,bitch,,
四,bite,,
四,bitter,,
六,bizarre,,
四,black,,
四,blackboard,,
六,blackmail,,
四,blade,,
四,blame,,
四,blank,,
四,blanket,,
四,blast,,
六,blaze,,
六,bleach,,
六,bleak,,
四,bleed,,
四,blend,,
四,bless,blessing,
四,blind,,
六,blink,,
六,bloc,,
四,block,,
四,blog,,
四,blond(e),,
四,blood,bloody,
四,bloom,,
四,blossom,,
四,blouse,,
四,blow,,
四,blue,,
四,blueprint,,
六,bluff,,
六,blunder,,
六,blunt,,
四,blur,,
六,blush,,
四,board,,
四,boast,boastful,
四,boat,,
四,body,bodily,
四,boil,boiler,
四,bold,,
六,bolster,,
四,bolt,,
四,bomb,,bombing;bomber
四,bond,bondage,
四,bone,bony,
四,bonus,,
四,book,,
四,boom,,
四,boost,,
四,boot,,
四,booth,,
